Ticker,Fast EMA,Slow EMA,Total Return,Annualized Return,Volatility,Sharpe Ratio,Max Drawdown
AAPL,3,10,193.05%,24.03%,31.69%,0.76,-32.10%
AAPL,5,21,128.13%,17.96%,31.70%,0.57,-32.42%
AAPL,21,50,15.14%,2.86%,31.73%,0.09,-39.88%
AAPL,12,30,-22.51%,-4.98%,31.73%,-0.16,-53.13%
MSFT,21,50,-21.79%,-4.80%,30.53%,-0.16,-44.90%
MSFT,12,30,-34.28%,-8.06%,30.53%,-0.26,-50.88%
MSFT,3,10,-38.00%,-9.13%,30.53%,-0.30,-60.58%
MSFT,5,21,-56.15%,-15.22%,30.52%,-0.50,-68.19%
QQQ,5,21,28.75%,5.19%,25.67%,0.20,-27.09%
QQQ,21,50,10.15%,1.96%,25.68%,0.08,-32.16%
QQQ,12,30,-8.82%,-1.83%,25.68%,-0.07,-37.75%
QQQ,3,10,-18.23%,-3.95%,25.68%,-0.15,-42.54%
SPY,12,30,38.30%,6.71%,21.01%,0.32,-27.73%
SPY,5,21,20.85%,3.87%,21.01%,0.18,-21.04%
SPY,21,50,11.31%,2.17%,21.02%,0.10,-35.53%
SPY,3,10,-11.04%,-2.32%,21.02%,-0.11,-38.22%
